K,I,Regret,ProcessTime,SpaceUsage
240,10,135.5465315018192,6867736730.0,22157600.0
240,11,121.78051101121106,6838967964.0,22157600.0
240,12,132.49525197505795,6863237868.0,22157600.0
240,13,133.25834314455017,6813696056.0,22157600.0
240,14,132.14923591565068,6795959180.0,22157600.0
240,15,133.5754101225183,6789112028.0,22157600.0
240,16,129.51370573898558,6752908696.0,22157600.0
240,17,127.28923347708296,6742457393.0,22157600.0
240,18,133.92445877155765,6812887726.0,22157600.0
240,19,124.58102531765476,6776527487.0,22157600.0
260,0,140.3632627306322,7626441204.0,22928800.0
260,1,145.35402346256498,7616572782.0,22928800.0
260,2,138.2866278300382,7671205960.0,22928800.0
260,3,144.21305447428014,7584459336.0,22928800.0
260,4,142.50119844303092,7656853514.0,22928800.0
260,5,142.44701754457938,7614362064.0,22928800.0
260,6,144.76891303651863,7582224964.0,22928800.0
260,7,137.79788620351815,7567856829.0,22928800.0
260,8,135.57420299762342,7672974349.0,22928800.0
260,9,144.02119065660395,7629321377.0,22928800.0
260,10,135.64793866169677,7662283279.0,22928800.0
260,11,140.04637400409578,7703035533.0,22928800.0
260,12,148.54806463166005,7629225181.0,22928800.0
260,13,135.8593322966543,7714356239.0,22928800.0
260,14,137.38676703477176,7746902936.0,22928800.0
260,15,139.8680291207863,7730281307.0,22928800.0
260,16,145.20686503648685,7775083727.0,22928800.0
260,17,142.88596264489686,7737206673.0,22928800.0
260,18,140.63579293509883,7723669185.0,22928800.0
260,19,144.23875457869838,7789673670.0,22928800.0
280,0,149.87935757406646,8447685156.0,23314400.0
280,1,152.5212489828859,8473589408.0,23314400.0
280,2,155.1152990487425,8347242986.0,23314400.0
280,3,147.9372474365356,8421502416.0,23314400.0
280,4,150.449676134487,8315875987.0,23314400.0
280,5,149.3877109189602,8365273844.0,23314400.0
280,6,153.82461732234987,8358034842.0,23314400.0
280,7,157.29637573288016,8272423271.0,23314400.0
280,8,157.52740103133655,8303849590.0,23314400.0
280,9,148.9290854217518,8243656438.0,23314400.0
280,10,155.31922190571072,8140217218.0,23314400.0
280,11,153.16240199291727,8145413736.0,23314400.0
280,12,154.64924810188182,8290715803.0,23314400.0
280,13,145.49705713938872,8312986472.0,23314400.0
280,14,156.17491095641523,8342092066.0,23314400.0
280,15,146.61682770776997,8332707056.0,23314400.0
280,16,150.52441076765612,8315166544.0,23314400.0
280,17,149.43834196253883,8348413416.0,23314400.0
280,18,151.35626666740538,8254690773.0,23314400.0
280,19,161.55641919661298,8229653702.0,23314400.0
300,0,168.99712895190206,6167505288.0,23700000.0
300,1,152.1582573754167,8068161148.0,23700000.0
300,2,170.752614251683,9150485346.0,23700000.0
300,3,156.98101373224293,9161333903.0,23700000.0
300,4,161.72638711624074,8928463853.0,23700000.0
300,5,156.623208832879,8878837306.0,23700000.0
300,6,160.89614829066383,8830335422.0,23700000.0
300,7,165.07561819852202,8826013287.0,23700000.0
