K,I,Regret,ProcessTime,SpaceUsage
140,11,73.30643784635706,3964908255.0,13784716.0
140,12,76.92383781923016,3964734180.0,13784716.0
140,13,75.13819822181321,3977453936.0,13784716.0
140,14,77.49619565353123,3985845755.0,13784716.0
140,15,77.56923584043459,3963880264.0,13784716.0
140,16,76.57678459140392,3959676111.0,13784716.0
140,17,75.76808405824849,3953071295.0,13784716.0
140,18,77.0536175258004,3942004785.0,13784716.0
140,19,74.32175814480455,3945857404.0,13784716.0
160,0,84.77026369319337,4507718355.0,14363116.0
160,1,91.48439430674898,4507833856.0,14363116.0
160,2,88.5094639581508,4527139182.0,14363116.0
160,3,86.49298830700396,4517433867.0,14363116.0
160,4,83.06817821661413,4512263297.0,14363116.0
160,5,81.19252940868313,4514939147.0,14363116.0
160,6,81.92658051018118,4512857164.0,14363116.0
160,7,89.44870572666018,4487737771.0,14363116.0
160,8,79.97944730685703,4466256293.0,14363116.0
160,9,86.42921695655328,4462966111.0,14363116.0
160,10,83.57003768529087,4494366006.0,14363116.0
160,11,88.0107897149865,4511293009.0,14363116.0
160,12,91.30447858871,4515403680.0,14363116.0
160,13,86.79435834056237,4475201897.0,14363116.0
160,14,85.48045889909292,4455825382.0,14363116.0
160,15,84.76483977544879,4456036181.0,14363116.0
160,16,84.65067915854527,4466154448.0,14363116.0
160,17,86.9100887421173,4473344230.0,14363116.0
160,18,82.41209824226334,4490273986.0,14363116.0
160,19,93.92836198150422,4502035513.0,14363116.0
180,0,93.2784589941875,6954400756.0,14941516.0
180,1,99.95066873403668,5526778167.0,14941516.0
180,2,96.18282136302824,5523774624.0,14941516.0
180,3,92.15658502489478,5508214670.0,14941516.0
180,4,96.70737037397365,5532725117.0,14941516.0
180,5,96.4046267882266,5467100001.0,14941516.0
180,6,98.10591403645188,8023255065.0,14941516.0
180,7,96.87376523829558,7426418495.0,14941516.0
180,8,98.05019496323662,5477076064.0,14941516.0
180,9,98.24620389565705,5467812933.0,14941516.0
180,10,96.62692781852672,5472238859.0,14941516.0
180,11,97.23624802359303,5479327503.0,14941516.0
180,12,99.19894738588228,5494240486.0,14941516.0
180,13,99.46716245587608,5468799006.0,14941516.0
180,14,92.86491945034643,5461969548.0,14941516.0
180,15,95.25734509610471,5453173415.0,14941516.0
180,16,100.02492858759152,5476871401.0,14941516.0
180,17,101.76846838882194,5492211414.0,14941516.0
180,18,98.00303472207077,5488471788.0,14941516.0
180,19,95.4368384440731,5474299041.0,14941516.0
200,0,108.51303941549,4368267145.0,15519916.0
200,1,108.40130773779504,4946899750.0,15519916.0
200,2,112.53168499679133,5716279604.0,15519916.0
200,3,104.4047525699702,5835238403.0,15519916.0
200,4,110.77097149701596,5922793773.0,15519916.0
200,5,102.4360633881202,5916200749.0,15519916.0
200,6,106.41786280700664,5875880104.0,15519916.0
200,7,114.7031331333448,5891767626.0,15519916.0
200,8,109.71784650047933,5894028668.0,15519916.0
200,9,108.43369443454944,5902588038.0,15519916.0
200,10,105.452238410009,5853214355.0,15519916.0
200,11,104.54736282972677,5788264126.0,15519916.0
200,12,108.46222128063287,5792764130.0,15519916.0
200,13,112.82676349330238,5755297272.0,15519916.0
200,14,103.02298857620288,5680049295.0,15519916.0
200,15,106.9636189552807,5663784870.0,15519916.0
200,16,109.72691045253056,5761511962.0,15519916.0
200,17,114.73552833119837,5711477652.0,15519916.0
200,18,109.81956696169928,5692612874.0,15519916.0
200,19,109.23684222728174,5710228593.0,15519916.0
220,0,118.4659925760894,6268290411.0,16098316.0
220,1,123.47482464445832,6252267015.0,16098316.0
220,2,115.31779771223476,6222682781.0,16098316.0
220,3,118.16536436666703,6250610122.0,16098316.0
220,4,118.05143192927272,6276343237.0,16098316.0
220,5,112.38469935036458,6309496609.0,16098316.0
220,6,118.0622851408614,6275401785.0,16098316.0
220,7,120.62360455687048,6288479230.0,16098316.0
220,8,116.90592254840504,6280843300.0,16098316.0
220,9,125.71933060217144,6262447699.0,16098316.0
220,10,111.0937538269498,6249865167.0,16098316.0
220,11,120.52649748015564,6295092056.0,16098316.0
