K,I,Regret,ProcessTime,SpaceUsage
180,7,98.76207407771795,14216121926.0,7229516.0
180,8,95.30859076327197,14209946181.0,7229516.0
180,9,96.94895166434492,14208794744.0,7229516.0
180,10,98.95614033937817,14206029398.0,7229516.0
180,11,98.81973972025972,13921876106.0,7229516.0
180,12,98.72717155948428,14212427578.0,7229516.0
180,13,98.28523626170546,14192850231.0,7229516.0
180,14,99.3785874235376,14208254864.0,7229516.0
180,15,96.72263435767933,14198701655.0,7229516.0
180,16,100.2989067625977,14199706774.0,7229516.0
180,17,101.83657926654446,14205741106.0,7229516.0
180,18,97.20832628975644,14192932523.0,7229516.0
180,19,98.27661342419228,14209933505.0,7229516.0
200,0,111.03163422439248,6928476770.0,7422316.0
200,1,111.80500867896986,13138963713.0,7422316.0
200,2,110.49061106633262,7908039114.0,7422316.0
200,3,108.23419306065058,7897939787.0,7422316.0
200,4,109.4217846065245,7887848388.0,7422316.0
200,5,109.33683206923062,7882725256.0,7422316.0
200,6,108.87239150831336,7892340381.0,7422316.0
200,7,111.90699112797518,7891530148.0,7422316.0
200,8,112.16354711829251,7866258898.0,7422316.0
200,9,109.89471975187732,7895817805.0,7422316.0
200,10,109.66728111862392,7931119574.0,7422316.0
200,11,107.86188969556572,7942042611.0,7422316.0
200,12,111.37961840381256,7934791249.0,7422316.0
200,13,112.8450679278193,7935257649.0,7422316.0
200,14,107.03523071571146,7939320035.0,7422316.0
200,15,109.12195363677618,7940056447.0,7422316.0
200,16,110.8333221655181,7934314503.0,7422316.0
200,17,112.64936601373005,7953302485.0,7422316.0
200,18,109.93981484002693,7929783459.0,7422316.0
200,19,109.79293803756003,7938386685.0,7422316.0
220,0,119.96170319621184,8730434003.0,7422316.0
220,1,123.28172290846076,8735728161.0,7422316.0
220,2,118.15397077088085,8741192853.0,7422316.0
220,3,122.16035530584634,8753557312.0,7422316.0
220,4,119.62975492977826,8729605645.0,7422316.0
220,5,119.82344556637877,8720882495.0,7422316.0
220,6,121.96137486528733,8701796306.0,7422316.0
220,7,121.99564312602294,8718618250.0,7422316.0
220,8,117.65982822202984,8713055548.0,7422316.0
220,9,123.4042789750929,8707397473.0,7422316.0
220,10,121.3176702222102,8722733188.0,7422316.0
220,11,121.09819794259582,8720974243.0,7422316.0
220,12,121.98849385169228,8723278910.0,7422316.0
220,13,119.04081215987394,8739272237.0,7422316.0
220,14,119.46849403237876,8711839256.0,7422316.0
220,15,123.47589990588008,8736513658.0,7422316.0
220,16,119.39772969287677,8723344935.0,7422316.0
220,17,118.07376592392706,8684470689.0,7422316.0
220,18,120.43676708490914,8200593719.0,7422316.0
220,19,120.90522564816182,8720897394.0,7422316.0
240,0,130.7979736345318,9386743663.0,7615116.0
240,1,132.9313963381796,9393180668.0,7615116.0
240,2,132.65607011016212,9394446505.0,7615116.0
240,3,127.5410923378494,9397979029.0,7615116.0
240,4,135.85563873907526,9397807290.0,7615116.0
240,5,129.61129259571263,9401147213.0,7615116.0
240,6,132.84925184495694,9371818508.0,7615116.0
240,7,131.38497635213344,9385645425.0,7615116.0
240,8,129.1909955898967,9389051311.0,7615116.0
240,9,132.3433912346759,9378985888.0,7615116.0
240,10,131.78553650551132,9366114042.0,7615116.0
240,11,132.46872212657297,9393956803.0,7615116.0
240,12,131.55973842076355,9393710464.0,7615116.0
240,13,130.89601703671246,9385112625.0,7615116.0
240,14,132.73979956290563,9375573975.0,7615116.0
240,15,130.88696324306713,9375938721.0,7615116.0
240,16,130.21430933273035,9376791403.0,7615116.0
240,17,131.21536001212723,9384808553.0,7615116.0
240,18,132.12952241319337,9392493280.0,7615116.0
240,19,130.24560239127246,9412048192.0,7615116.0
260,0,141.94781753257277,10340299337.0,7807916.0
